state_name,Age Start,Age End,pct_vaccinated,num_vaccinated,note
Arizona,0,19,0.015597846,33083,
Arizona,20,44,0.230216624,488289,
Arizona,45,54,0.113761069,241287,
Arizona,55,64,0.198260913,420511,
Arizona,65,99,0.442163548,937828,
Alaska,10,19,0.034710744,8400,
Alaska,20,29,0.111570248,27000,
Alaska,30,39,0.158264463,38300,
Alaska,40,49,0.15,36300,
Alaska,50,59,0.180165289,43600,
Alaska,60,69,0.207024793,50100,
Alaska,70,79,0.117355372,28400,
Alaska,80,99,0.040909091,9900,
Alabama,16,54,0.335,,
Alabama,55,64,0.19,,
Alabama,65,74,0.261,,
Alabama,75,99,0.214,,
Arkansas,,,,,Not reported
California,0,17,0.005,,
California,18,49,0.383,,
California,50,64,0.241,,
California,65,99,0.371,,
Colorado,0,9,0,,
Colorado,10,19,0.013,,
Colorado,20,29,0.086,,
Colorado,30,39,0.1251,,
Colorado,40,49,0.1204,,
Colorado,50,59,0.1495,,
Colorado,60,69,0.2424,,
Colorado,70,79,0.1833,,
Colorado,80,99,0.082,,
Connecticut,75,99,0.207,,
Connecticut,65,74,0.255,,
Connecticut,55,64,0.262,,
Connecticut,45,54,0.108,,
Connecticut,35,44,0.074,,
Connecticut,25,34,0.067,,
Connecticut,16,24,0.027,,
Connecticut,0,15,0,,
Delaware,0,4,0,,
Delaware,5,17,0,,
Delaware,18,34,0.1,,
Delaware,35,49,0.13,,
Delaware,50,64,0.23,,
Delaware,65,99,0.53,,
District of Columbia,16,19,0.007458566,1013,
District of Columbia,20,44,0.347261388,47164,
District of Columbia,45,64,0.25186096,34207,
District of Columbia,65,99,0.393419086,53433,
Florida,16,24,0.019844884,116524,
Florida,25,34,0.045956224,269843,
Florida,35,44,0.064202775,376982,
Florida,45,54,0.104913024,616022,
Florida,55,64,0.198835609,1167511,
Florida,65,74,0.316784803,1860078,
Florida,75,84,0.185531376,1089392,
Florida,85,99,0.063931305,375388,
Georgia,,,,,Website Down
Hawaii,,,,,Not reported
Idaho,15,24,0.040463168,17682,
Idaho,25,34,0.085269686,37262,
Idaho,35,44,0.1114831,48717,
Idaho,45,54,0.126822124,55420,
Idaho,55,64,0.197837479,86453,
Idaho,65,74,0.258472734,112950,
Idaho,75,84,0.133794824,58467,
Idaho,85,99,0.045856885,20039,
Illinois,0,64,0.597,,
Illinois,65,99,0.403,,
Indiana,16,19,0.004,,
Indiana,20,24,0.02,,
Indiana,25,29,0.025,,
Indiana,30,34,0.03,,
Indiana,35,39,0.034,,
Indiana,40,44,0.047,,
Indiana,45,49,0.06,,
Indiana,50,54,0.077,,
Indiana,55,59,0.1,,
Indiana,60,64,0.136,,
Indiana,65,69,0.144,,
Indiana,70,74,0.126,,
Indiana,75,79,0.084,,
Indiana,80,99,0.112,,
Iowa,0,17,0.0051,,
Iowa,18,29,0.0938,,
Iowa,30,39,0.1199,,
Iowa,40,49,0.1314,,
Iowa,50,59,0.1989,,
Iowa,60,69,0.2723,,
Iowa,70,79,0.121,,
Iowa,80,99,0.0576,,
Kansas,0,17,0.003370976,2703,
Kansas,18,24,0.051060991,40943,
Kansas,25,34,0.100159008,80312,
Kansas,35,44,0.121607044,97510,
Kansas,45,54,0.123259483,98835,
Kansas,55,64,0.170051569,136355,
Kansas,65,74,0.240663719,192975,
Kansas,75,84,0.133843823,107322,
Kansas,85,99,0.055983388,44890,
Kentucky,16,19,0.012417251,15368,
Kentucky,20,29,0.078543478,97208,
Kentucky,30,39,0.107296751,132794,
Kentucky,40,49,0.125790925,155683,
Kentucky,50,59,0.162061774,200573,
Kentucky,60,69,0.236151589,292269,
Kentucky,70,99,0.277738231,343738,
Louisiana,5,17,0.0027,,
Louisiana,18,29,0.0686,,
Louisiana,30,39,0.0968,,
Louisiana,40,49,0.1124,,
Louisiana,50,59,0.1694,,
Louisiana,60,69,0.2517,,
Louisiana,70,99,0.2982,,
Maine,15,19,0.004256276,1817,
Maine,20,29,0.048491564,20701,
Maine,30,39,0.064162718,27391,
Maine,40,49,0.070054041,29906,
Maine,50,59,0.15268717,65182,
Maine,60,69,0.297100719,126832,
Maine,70,79,0.243448685,103928,
Maine,80,99,0.119798828,51142,
Maryland,10,19,0.011319507,20203,
Maryland,20,29,0.086104567,153679,
Maryland,30,39,0.124414849,222055,
Maryland,40,49,0.130556731,233017,
Maryland,50,59,0.159230612,284194,
Maryland,60,69,0.223190899,398350,
Maryland,70,79,0.174996568,312333,
Maryland,80,99,0.090186268,160964,
Massachusetts,0,19,0.01,,
Massachusetts,20,29,0.09,,
Massachusetts,30,49,0.23,,
Massachusetts,50,64,0.25,,
Massachusetts,65,74,0.24,,
Massachusetts,75,99,0.2,,
Michigan,16,19,0.00942509,25927,
Michigan,20,29,0.067106192,184599,
Michigan,30,39,0.091403781,251438,
Michigan,40,49,0.101522839,279274,
Michigan,50,64,0.301781014,830154,
Michigan,65,74,0.251706655,692407,
Michigan,75,99,0.177054429,487050,
Minnesota,16,17,0.003212056,5326,
Minnesota,18,49,0.322568583,534860,
Minnesota,50,64,0.253435802,420229,
Minnesota,65,99,0.420783558,697713,
Mississippi,16,24,0.038889841,28815,
Mississippi,25,39,0.116434686,86271,
Mississippi,40,49,0.121026157,89673,
Mississippi,50,64,0.306945646,227428,
Mississippi,65,74,0.246747708,182825,
Mississippi,75,99,0.169955961,125927,
Missouri,15,24,0.040474367,62610,
Missouri,25,34,0.093186718,144151,
Missouri,35,44,0.11302504,174839,
Missouri,45,54,0.12166358,188202,
Missouri,55,64,0.187310145,289751,
Missouri,65,74,0.251283692,388712,
Missouri,75,84,0.139393175,215628,
Missouri,85,99,0.053663282,83012,
Montana,,,,,Not reported
Nebraska,16,19,0.00800781,4454,
Nebraska,20,34,0.141321486,78604,
Nebraska,35,44,0.121061044,67335,
Nebraska,45,54,0.1191373,66265,
Nebraska,55,64,0.182290047,101391,
Nebraska,65,74,0.235006032,130712,
Nebraska,75,84,0.129543497,72053,
Nebraska,85,99,0.063632784,35393,
Nevada,0,9,0,,
Nevada,10,19,0.011,,
Nevada,20,29,0.087,,
Nevada,30,39,0.12,,
Nevada,40,49,0.136,,
Nevada,50,59,0.162,,
Nevada,60,69,0.209,,
Nevada,70,99,0.274,,
New Hampshire,,,,,Not reported
New Jersey,16,17,0,,
New Jersey,18,29,0.08,,
New Jersey,30,49,0.24,,
New Jersey,50,64,0.28,,
New Jersey,65,79,0.29,,
New Jersey,80,99,0.1,,
New Mexico,16,59,0.524476798,345190.76,
New Mexico,60,74,0.310304012,204230.346,
New Mexico,75,99,0.16521919,108741.012,
New York,,,,,Not reported
North Carolina,0,17,0.004,,
North Carolina,18,24,0.039,,
North Carolina,25,49,0.259,,
North Carolina,50,64,0.238,,
North Carolina,65,74,0.271,,
North Carolina,75,99,0.187,,
North Dakota,20,29,0.10299744,23329.185,
North Dakota,30,39,0.130405584,29537.2,
North Dakota,40,49,0.12826401,29052.128,
North Dakota,50,59,0.171008615,38733.891,
North Dakota,60,69,0.226042467,51199.2,
North Dakota,70,79,0.140023073,31715.586,
North Dakota,80,99,0.101258811,22935.381,
Ohio,0,19,0.008825187,29896,
Ohio,20,29,0.059309353,200915,
Ohio,30,39,0.085373705,289210,
Ohio,40,49,0.120277709,407450,
Ohio,50,59,0.180338631,610911,
Ohio,60,64,0.124057697,420255,
Ohio,65,69,0.129535949,438813,
Ohio,70,74,0.112012509,379451,
Ohio,75,79,0.075200947,254749,
Ohio,80,99,0.105068313,355927,
Oklahoma,16,17,0.007527405,6259,
Oklahoma,18,35,0.191848418,159521,
Oklahoma,36,49,0.312676565,259989,
Oklahoma,65,99,0.487947612,405726,
Oregon,0,19,0.01,,
Oregon,20,29,0.08,,
Oregon,30,39,0.12,,
Oregon,40,49,0.12,,
Oregon,50,59,0.13,,
Oregon,60,64,0.08,,
Oregon,65,69,0.14,,
Oregon,70,74,0.13,,
Oregon,75,79,0.08,,
Oregon,80,99,0.1,,
Pennsylvania,80,99,0.122939087,390867,
Pennsylvania,75,79,0.084000371,"267,067",
Pennsylvania,70,74,0.121879752,"387,499",
Pennsylvania,65,69,0.141066348,"448,500",
Pennsylvania,60,64,0.10391353,"330,378",
Pennsylvania,55,59,0.082264484,"261,548",
Pennsylvania,50,54,0.066934331,"212,808",
Pennsylvania,45,49,0.055163076,"175,383",
Pennsylvania,40,44,0.053173364,"169,057",
Pennsylvania,35,39,0.052053011,"165,495",
Pennsylvania,30,34,0.045511747,"144,698",
Pennsylvania,25,29,0.036496711,"116,036",
Pennsylvania,20,24,0.027212123,"86,517",
Pennsylvania,15,19,0.007392065,"23,502",
Rhode Island,0,19,0.0081,,
Rhode Island,20,34,0.12,,
Rhode Island,35,44,0.1,,
Rhode Island,45,54,0.12,,
Rhode Island,55,64,0.2,,
Rhode Island,65,74,0.26,,
Rhode Island,75,99,0.19,,
South Carolina,16,24,0.028411304,35963,
South Carolina,25,35,0.068940645,87265,
South Carolina,35,44,0.091414988,115713,
South Carolina,45,54,0.111997244,141766,
South Carolina,55,64,0.200143941,253342,
South Carolina,65,99,0.499091878,631750,
South Dakota,10,19,0.014077721,3214,
South Dakota,20,29,0.086555645,19761,
South Dakota,30,39,0.120646156,27544,
South Dakota,40,49,0.129585991,29585,
South Dakota,50,59,0.170781064,38990,
South Dakota,60,69,0.269631719,61558,
South Dakota,70,79,0.196360992,44830,
South Dakota,80,99,0.012360712,2822,
Tennessee,16,20,0.0152,,
Tennessee,21,30,0.0788,,
Tennessee,31,40,0.1067,,
Tennessee,41,50,0.1222,,
Tennessee,51,60,0.1653,,
Tennessee,61,70,0.2313,,
Tennessee,71,80,0.1938,,
Tennessee,81,99,0.0867,,
Texas,16,49,0.105466301,2796914,
Texas,50,64,0.801755531,21262159,
Texas,65,79,0.072791067,1930383,
Texas,80,99,0.019987101,530048,
Utah,16,29,0.131,,
Utah,30,39,0.128,,
Utah,40,49,0.134,,
Utah,50,59,0.176,,
Utah,60,69,0.206,,
Utah,70,79,0.152,,
Utah,80,99,0.074,,
Vermont,16,29,0.078047837,15330,
Vermont,30,39,0.089187345,17518,
Vermont,40,49,0.091885672,18048,
Vermont,50,59,0.12406195,24368,
Vermont,60,64,0.083322302,16366,
Vermont,65,69,0.162510564,31920,
Vermont,70,74,0.150464825,29554,
Vermont,75,99,0.220519504,43314,
Virginia,10,19,0.013,,
Virginia,20,29,0.08,,
Virginia,30,39,0.112,,
Virginia,40,49,0.129,,
Virginia,50,59,0.167,,
Virginia,60,69,0.224,,
Virginia,70,79,0.183,,
Virginia,80,99,0.092,,
Washington,0,19,0.0113175,23828,
Washington,20,34,0.133856461,281823,
Washington,35,49,0.179806613,378567,
Washington,50,64,0.248480582,523154,
Washington,65,99,0.426538844,898040,
West Virginia,0,24,0.034423518,27952,
West Virginia,25,34,0.071417224,57991,
West Virginia,35,44,0.09368192,76070,
West Virginia,45,54,0.118695374,96381,
West Virginia,55,64,0.171355278,139141,
West Virginia,65,74,0.272460816,221239,
West Virginia,75,84,0.16815332,136541,
West Virginia,85,99,0.06981255,56688,
Wisconsin,16,17,0.003970813,7008,
Wisconsin,18,24,0.04836425,85357,
Wisconsin,25,34,0.097211252,171566,
Wisconsin,35,44,0.117528237,207423,
Wisconsin,45,54,0.121740993,214858,
Wisconsin,55,64,0.177139156,312629,
Wisconsin,65,99,0.434045299,766037,
Wyoming,,,,,Not reported
All,16,17,0.004,,
All,18,29,0.088,,
All,30,39,0.109,,
All,40,49,0.12,,
All,50,64,0.267,,
All,65,74,0.238,,
All,75,99,0.173,,